title,heading,tokens
Quality control (QC) review,"National Library of Medicine (NLM) staff perform a limited review of submitted study records for apparent errors, deficiencies, or inconsistencies. NLM staff identify potential major and advisory issues and provide comments directly to the study sponsor or investigator. Major issues identified in QC review must be addressed or corrected (see First submitted that met QC criteria and Results first submitted that met QC criteria). Advisory issues are suggestions to help improve the clarity of the record. NLM staff do not verify the scientific validity or relevance of the submitted information. The study sponsor or investigator is responsible for ensuring that the studies follow all applicable laws and regulations.",128
Randomized allocation,A type of allocation strategy in which participants are assigned to the arms of a clinical trial by chance.,23
Recruitment status,"Not yet recruiting: The study has not started recruiting participants. Recruiting: The study is currently recruiting participants. Enrolling by invitation: The study is selecting its participants from a population, or group of people, decided on by the researchers in advance. These studies are not open to everyone who meets the eligibility criteria but only to people in that particular population, who are specifically invited to participate. Active, not recruiting: The study is ongoing, and participants are receiving an intervention or being examined, but potential participants are not currently being recruited or enrolled. Suspended: The study has stopped early but may start again. Terminated: The study has stopped early and will not start again. Participants are no longer being examined or treated. Completed: The study has ended normally, and participants are no longer being examined or treated (that is, the last participant's last visit has occurred). Withdrawn: The study stopped early, before enrolling its first participant. Unknown: A study on ClinicalTrials.gov whose last known status was recruiting; not yet recruiting; or active, not recruiting but that has passed its completion date, and the status has not been last verified within the past 2 years.",241
Registration,"The process of submitting and updating summary information about a clinical study and its protocol, from its beginning to end, to a structured, public Web-based study registry that is accessible to the public, such as ClinicalTrials.gov.",46
Removed location countries,Countries that appeared under listed location countries but were removed from the study record by the sponsor or investigator.,23
Reporting group,A grouping of participants in a clinical study that is used for summarizing the data collected during the study. This grouping may be the same as or different from a study arm or group.,39
Responsible party,The person responsible for submitting information about a clinical study to ClinicalTrials.gov and updating that information. Usually the study sponsor or investigator.,30
Results database,"A structured online system, such as the ClinicalTrials.gov results database, that provides the public with access to registration and summary results information for completed or terminated clinical studies. A study with results available on ClinicalTrials.gov is described as having the results ""posted."" The ClinicalTrials.gov results database became available in September 2008. Older studies are unlikely to have results available in the database.",82
Results delayed,Indicates that the sponsor or investigator submitted a certification or extension request.,15
Results first posted,The date on which summary results information was first available on ClinicalTrials.gov after National Library of Medicine (NLM) quality control (QC) review has concluded. There is typically a delay between the date the study sponsor or investigator first submits summary results information (the results first submitted date) and the results first posted date. Some results information may be available at an earlier date if Results First Posted with QC Comments.,86
Results first posted with QC comments,"The date on which summary results information was first available on ClinicalTrials.gov with quality control review comments from the National Library of Medicine (NLM) identifying major issues that must be addressed by the sponsor or investigator. As of January 1, 2020, initial results submissions for applicable clinical trials (ACTs) that do not meet quality control review criteria will be publicly posted on ClinicalTrials.gov with brief standardized major comments. Accordingly, the Results First Posted with QC Comments date may be earlier than the Results First Posted date for an ACT with summary results information that is not consistent with NLM quality control review criteria.",131
Results first submitted,The date on which the study sponsor or investigator first submits a study record with summary results information. There is typically a delay between the results first submitted date and when summary results information becomes available on ClinicalTrials.gov (the results first posted date).,52
Results first submitted that met QC criteria,The date on which the study sponsor or investigator first submits a study record with summary results information that is consistent with National Library of Medicine (NLM) quality control (QC) review criteria. The sponsor or investigator may need to revise and submit results information one or more times before NLM's QC review criteria are met. It is the responsibility of the sponsor or investigator to ensure that the study record is consistent with the NLM QC review criteria.,96
Results returned after quality control review,"The date on which the National Library of Medicine provided quality control (QC) review comments to the study sponsor or investigator. The sponsor or investigator must address major issues identified in the review comments. If there is a date listed for results returned after quality control review, but there is not a subsequent date listed for results submitted to ClinicalTrials.gov, this means that the submission is pending changes by the sponsor or investigator.",89
Results submitted to ClinicalTrials.gov,"Indicates that the study sponsor or investigator has submitted summary results information for a clinical study to ClinicalTrials.gov but the quality control (QC) review process has not concluded. The results submitted date indicates when the study sponsor or investigator first submitted summary results information or submitted changes to summary results information. Submissions with changes are typically in response to QC review comments from the National Library of Medicine (NLM). If there is a date listed for results submitted to ClinicalTrials.gov, but there is not a subsequent date listed for results returned after quality control review, this means that the submission is pending review by NLM.",130
Secondary outcome measure,"In a clinical study's protocol, a planned outcome measure that is not as important as the primary outcome measure for evaluating the effect of an intervention but is still of interest. Most clinical studies have more than one secondary outcome measure.",48
Serious adverse event,"An adverse event that results in death, is life-threatening, requires inpatient hospitalization or extends a current hospital stay, results in an ongoing or significant incapacity or interferes substantially with normal life functions, or causes a congenital anomaly or birth defect. Medical events that do not result in death, are not life-threatening, or do not require hospitalization may be considered serious adverse events if they put the participant in danger or require medical or surgical intervention to prevent one of the results listed above.",103
Sex,"A type of eligibility criteria that indicates the sex of people who may participate in a clinical study (all, female, male). Sex is a person's classification as female or male based on biological distinctions. Sex is distinct from gender-based eligibility.",49
Sham comparator arm,An arm type in which a group of participants receives a procedure or device that appears to be the same as the actual procedure or device being studied but does not contain active processes or components.,41
Single group assignment,A type of intervention model describing a clinical trial in which all participants receive the same intervention/treatment.,23
Sort studies by,"In Advanced Search, the Sort studies by option is used to change the order of studies listed on the Search Results page. You can sort by Relevance or Newest First: Relevance: Studies that best match your search terms appear higher in the search results list. This is the default display for all searches. Newest First: Studies with the most recent First posted dates appear higher in the search results list.",83
Sponsor,The organization or person who initiates the study and who has authority and control over the study.,21
State,"In the search feature, the State field is used to find clinical studies with locations in a specific state within the United States. If you choose United States in the Country field, you can search for studies with locations in a specific state.",48
Statistical analysis plan (SAP),The written description of the statistical considerations and methods for analyzing the data collected in the clinical study.,27
Status,Indicates the current recruitment status or the expanded access status.,12
Study completion date,"The date on which the last participant in a clinical study was examined or received an intervention/treatment to collect final data for the primary outcome measures, secondary outcome measures, and adverse events (that is, the last participant's last visit). The ""estimated"" study completion date is the date that the researchers think will be the study completion date.",71
Study design,The investigative methods and strategies used in the clinical study.,13
Study documents,"Refers to the type of documents that the study sponsor or principal investigator may add to their study record. These include a study protocol, statistical analysis plan, and informed consent form.",38
Study IDs,"Identifiers that are assigned to a clinical study by the study's sponsor, funders, or others. They include unique identifiers from other trial study registries and National Institutes of Health grant numbers. Note: ClinicalTrials.gov assigns a unique identification code to each clinical study registered on ClinicalTrials.gov. Also called the NCT number, the format is ""NCT"" followed by an 8-digit number (for example, NCT00000419).",94
Study record,"An entry on ClinicalTrials.gov that contains a summary of a clinical study's protocol information, including the recruitment status; eligibility criteria; contact information; and, in some cases, summary results. Each study record is assigned a ClinicalTrials.gov identifier, or NCT number.",58
Study registry,"A structured online system, such as ClinicalTrials.gov, that provides the public with access to summary information about ongoing and completed clinical studies.",30
Study results,"A study record that includes the summary results posted in the ClinicalTrials.gov results database. Summary results information includes participant flow, baseline characteristics, outcome measures, and adverse events (including serious adverse events).",42
Study start date,"The actual date on which the first participant was enrolled in a clinical study. The ""estimated"" study start date is the date that the researchers think will be the study start date.",39
Study type,"Describes the nature of a clinical study. Study types include interventional studies (also called clinical trials), observational studies (including patient registries), and expanded access.",35
Submitted date,The date on which the study sponsor or investigator submitted a study record that is consistent with National Library of Medicine (NLM) quality control (QC) review criteria.,35
Title,The official title of a protocol used to identify a clinical study or a short title written in language intended for the lay public.,26
Title acronym,"The acronym or initials used to identify a clinical study (not all studies have one). For example, the title acronym for the Women's Health Initiative is ""WHI.""",36
U.S. Agency for Healthcare Research and Quality (AHRQ),"An agency within the U.S. Department of Health and Human Services. AHRQ's mission is to produce evidence to make health care safer, higher quality, more accessible, equitable, and affordable, and to work within the U.S. Department of Health and Human Services and with other partners to make sure that the evidence is understood and used.",83
U.S. Food and Drug Administration (FDA),"An agency within the U.S. Department of Health and Human Services. The FDA is responsible for protecting the public health by making sure that human and veterinary drugs, vaccines and other biological products, medical devices, the Nation's food supply, cosmetics, dietary supplements, and products that give off radiation are safe, effective, and secure.",76
Unknown,"A type of recruitment status. It identifies a study on ClinicalTrials.gov whose last known status was recruiting; not yet recruiting; or active, not recruiting but that has passed its completion date, and the status has not been verified within the past 2 years. Studies with an unknown status are considered closed studies.",64
